Index;Education level;Degree;Tuition fees;ID;Branches of Science;Group of Professions;Year;Number of Applications;Number of Students
876;Higher Education;Bachelor's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Biological Sciences;2016;6595;1084
877;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Architecture;2016;9871;2853
878;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Construction Equipment and Technologies;2016;34976;15657
879;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Information Technology;2016;43303;15548
880;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Information Security;2016;5465;1093
881;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Electronics, and Radio Engineering and Communication Systems;2016;10813;3464
882;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Photonics, Instrument Engineering, Optical and Biotechnical Technologies;2016;4010;937
883;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Electrical and Thermal Power Engineering;2016;24974;11210
884;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Nuclear Energy and Technology;2016;335;54
885;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Mechanical Engineering;2016;23846;10762
886;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Physics and Technical Sciences and Technologies;2016;862;180
887;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Weaponry and Military Technology;2016;8;3
888;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Chemical Technologies;2016;7106;2436
889;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Industrial Ecology and Biotechnology;2016;9575;3349
890;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Industrial Safety and Environmental Management;2016;10717;3518
891;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Geology, Mining, Oil and Gas Engineering and Geodesy;2016;23661;11083
892;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Material Technology;2016;2322;761
893;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Transport Equipment and Technologies;2016;16651;7663
894;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Aviation, Rocket, and Space Technology;2016;1070;268
895;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Air Navigation and Operation of Aviation, Rocket and Space Technology;2016;1520;674
896;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Shipbuilding and Water Transport Technologies;2016;847;233
897;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Technical Management;2016;11221;3000
898;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Nanotechnology;2016;1044;47
899;Higher Education;Bachelor's degree;Full pay / tuition fee;2;Engineering and Technology;Light Industry Technologies;2016;1831;850
900;Higher Education;Bachelor's degree;Full pay / tuition fee;3;Healthcare and Medicine;Fundamental Medicine;2016;0;0
901;Higher Education;Bachelor's degree;Full pay / tuition fee;3;Healthcare and Medicine;Clinical Medicine;2016;0;0
902;Higher Education;Bachelor's degree;Full pay / tuition fee;3;Healthcare and Medicine;Health Sciences and Preventive Healthcare;2016;0;0
903;Higher Education;Bachelor's degree;Full pay / tuition fee;3;Healthcare and Medicine;Pharmacy;2016;0;0
904;Higher Education;Bachelor's degree;Full pay / tuition fee;3;Healthcare and Medicine;Nursing;2016;1890;963
905;Higher Education;Bachelor's degree;Full pay / tuition fee;4;Agriculture;Agriculture, Forestry, and Fisheries;2016;15606;5313
906;Higher Education;Bachelor's degree;Full pay / tuition fee;4;Agriculture;Veterinary Medicine and Zootechnics;2016;2816;613
907;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Psychology;2016;20643;8750
908;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Economics and Management;2016;411418;150339
909;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Sociology and Social Services;2016;18528;2744
910;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Jurisprudence;2016;169591;87485
911;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Political Science and Regional Studies;2016;33508;6838
912;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Mass Media and Information;2016;49024;13253
913;Higher Education;Bachelor's degree;Full pay / tuition fee;5;Social Sciences;Service and Tourism;2016;27909;7399
914;Higher Education;Bachelor's degree;Full pay / tuition fee;6;Education Sciences and Pedagogy;Education Sciences and Pedagogy;2016;131156;40125
915;Higher Education;Bachelor's degree;Full pay / tuition fee;7;Humanities;Linguistics and Philology;2016;48466;11889
916;Higher Education;Bachelor's degree;Full pay / tuition fee;7;Humanities;History and Archaeology;2016;11777;2325
917;Higher Education;Bachelor's degree;Full pay / tuition fee;7;Humanities;Philosophy, Ethics, and Religious Studies;2016;2094;445
918;Higher Education;Bachelor's degree;Full pay / tuition fee;7;Humanities;Theology;2016;1220;853
919;Higher Education;Bachelor's degree;Full pay / tuition fee;7;Humanities;Physical Education and Sports;2016;11643;4619
920;Higher Education;Bachelor's degree;Full pay / tuition fee;8;Arts and Culture;Art History;2016;2565;937
921;Higher Education;Bachelor's degree;Full pay / tuition fee;8;Arts and Culture;Cultural Studies and Socio-Cultural Projects;2016;9752;2367
922;Higher Education;Bachelor's degree;Full pay / tuition fee;8;Arts and Culture;Performing Arts and Literary Creativity;2016;1087;411
923;Higher Education;Bachelor's degree;Full pay / tuition fee;8;Arts and Culture;Musical Art;2016;2217;967
924;Higher Education;Bachelor's degree;Full pay / tuition fee;8;Arts and Culture;Design and Restoration;2016;12107;5133
925;Higher Education;Bachelor's degree;Full pay / tuition fee;8;Arts and Culture;Film and Screen Arts;2016;0;0
926;Higher Education;Bachelor's degree;Full pay / tuition fee;9;Military Science;Military Management;2016;0;0
927;Higher Education;Bachelor's degree;Full pay / tuition fee;9;Military Science;Ensuring National Security;2016;NaN;NaN
928;Higher Education;Bachelor's degree;Full pay / tuition fee;10;Oriental and African Studies;Oriental and African Studies;2016;0;0
929;Higher Education;Specialist's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Mathematics and Mechanics;2016;144;60
930;Higher Education;Specialist's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Computer Science;2016;0;0
931;Higher Education;Specialist's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Physics and Astronomy;2016;36;10
932;Higher Education;Specialist's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Chemistry;2016;1207;84
933;Higher Education;Specialist's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Earth Science;2016;0;0
934;Higher Education;Specialist's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Biological Sciences;2016;323;54
935;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Architecture;2016;0;0
936;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Construction Equipment and Technologies;2016;3530;739
937;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Information Technology;2016;22;10
938;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Information Security;2016;4420;807
939;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Electronics, and Radio Engineering and Communication Systems;2016;891;220
940;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Photonics, Instrument Engineering, Optical and Biotechnical Technologies;2016;326;13
941;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Electrical and Thermal Power Engineering;2016;60;29
942;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Nuclear Energy and Technology;2016;362;121
943;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Mechanical Engineering;2016;493;162
944;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Physics and Technical Sciences and Technologies;2016;26;3
945;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Weaponry and Military Technology;2016;440;20
946;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Chemical Technologies;2016;403;29
947;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Industrial Ecology and Biotechnology;2016;0;0
948;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Industrial Safety and Environmental Management;2016;1143;616
949;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Geology, Mining, Oil and Gas Engineering and Geodesy;2016;7742;2794
950;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Material Technology;2016;0;0
951;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Transport Equipment and Technologies;2016;12941;5707
952;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Aviation, Rocket, and Space Technology;2016;1093;258
953;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Air Navigation and Operation of Aviation, Rocket and Space Technology;2016;794;378
954;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Shipbuilding and Water Transport Technologies;2016;5494;2025
955;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Technical Management;2016;48;26
956;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Nanotechnology;2016;0;0
957;Higher Education;Specialist's degree;Full pay / tuition fee;2;Engineering and Technology;Light Industry Technologies;2016;0;0
958;Higher Education;Specialist's degree;Full pay / tuition fee;3;Healthcare and Medicine;Fundamental Medicine;2016;3442;410
959;Higher Education;Specialist's degree;Full pay / tuition fee;3;Healthcare and Medicine;Clinical Medicine;2016;111829;24612
960;Higher Education;Specialist's degree;Full pay / tuition fee;3;Healthcare and Medicine;Health Sciences and Preventive Healthcare;2016;6818;482
961;Higher Education;Specialist's degree;Full pay / tuition fee;3;Healthcare and Medicine;Pharmacy;2016;13966;2611
962;Higher Education;Specialist's degree;Full pay / tuition fee;3;Healthcare and Medicine;Nursing;2016;0;0
963;Higher Education;Specialist's degree;Full pay / tuition fee;4;Agriculture;Agriculture, Forestry, and Fisheries;2016;0;0
964;Higher Education;Specialist's degree;Full pay / tuition fee;4;Agriculture;Veterinary Medicine and Zootechnics;2016;4526;1939
965;Higher Education;Specialist's degree;Full pay / tuition fee;5;Social Sciences;Psychology;2016;6308;1325
966;Higher Education;Specialist's degree;Full pay / tuition fee;5;Social Sciences;Economics and Management;2016;50131;20475
967;Higher Education;Specialist's degree;Full pay / tuition fee;5;Social Sciences;Sociology and Social Services;2016;0;0
968;Higher Education;Specialist's degree;Full pay / tuition fee;5;Social Sciences;Jurisprudence;2016;23947;8278
969;Higher Education;Specialist's degree;Full pay / tuition fee;5;Social Sciences;Political Science and Regional Studies;2016;0;0
970;Higher Education;Specialist's degree;Full pay / tuition fee;5;Social Sciences;Mass Media and Information;2016;0;0
971;Higher Education;Specialist's degree;Full pay / tuition fee;5;Social Sciences;Service and Tourism;2016;0;0
972;Higher Education;Specialist's degree;Full pay / tuition fee;6;Education Sciences and Pedagogy;Education Sciences and Pedagogy;2016;914;140
973;Higher Education;Specialist's degree;Full pay / tuition fee;7;Humanities;Linguistics and Philology;2016;4168;1027
974;Higher Education;Specialist's degree;Full pay / tuition fee;7;Humanities;History and Archaeology;2016;0;0
975;Higher Education;Specialist's degree;Full pay / tuition fee;7;Humanities;Philosophy, Ethics, and Religious Studies;2016;0;0
976;Higher Education;Specialist's degree;Full pay / tuition fee;7;Humanities;Theology;2016;0;0
977;Higher Education;Specialist's degree;Full pay / tuition fee;7;Humanities;Physical Education and Sports;2016;0;0
978;Higher Education;Specialist's degree;Full pay / tuition fee;8;Arts and Culture;Art History;2016;0;0
979;Higher Education;Specialist's degree;Full pay / tuition fee;8;Arts and Culture;Cultural Studies and Socio-Cultural Projects;2016;127;60
980;Higher Education;Specialist's degree;Full pay / tuition fee;8;Arts and Culture;Performing Arts and Literary Creativity;2016;4340;1513
981;Higher Education;Specialist's degree;Full pay / tuition fee;8;Arts and Culture;Musical Art;2016;932;449
982;Higher Education;Specialist's degree;Full pay / tuition fee;8;Arts and Culture;Design and Restoration;2016;1589;452
983;Higher Education;Specialist's degree;Full pay / tuition fee;8;Arts and Culture;Film and Screen Arts;2016;2867;1222
984;Higher Education;Specialist's degree;Full pay / tuition fee;9;Military Science;Military Management;2016;0;0
985;Higher Education;Specialist's degree;Full pay / tuition fee;9;Military Science;Ensuring National Security;2016;NaN;NaN
986;Higher Education;Specialist's degree;Full pay / tuition fee;10;Oriental and African Studies;Oriental and African Studies;2016;0;0
987;Higher Education;Master's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Mathematics and Mechanics;2016;1311;344
988;Higher Education;Master's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Computer Science;2016;577;208
989;Higher Education;Master's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Physics and Astronomy;2016;634;168
990;Higher Education;Master's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Chemistry;2016;398;138
991;Higher Education;Master's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Earth Science;2016;1727;567
992;Higher Education;Master's degree;Full pay / tuition fee;1;Mathematical and Natural Sciences;Biological Sciences;2016;1176;372
993;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Architecture;2016;969;374
994;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Construction Equipment and Technologies;2016;8612;3698
995;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Information Technology;2016;6334;2565
996;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Information Security;2016;555;261
997;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Electronics, and Radio Engineering and Communication Systems;2016;1512;612
998;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Photonics, Instrument Engineering, Optical and Biotechnical Technologies;2016;622;178
999;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Electrical and Thermal Power Engineering;2016;3447;1916
1000;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Nuclear Energy and Technology;2016;86;36
1001;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Mechanical Engineering;2016;2438;1102
1002;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Physics and Technical Sciences and Technologies;2016;128;36
1003;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Weaponry and Military Technology;2016;0;0
1004;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Chemical Technologies;2016;978;490
1005;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Industrial Ecology and Biotechnology;2016;1423;557
1006;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Industrial Safety and Environmental Management;2016;2228;985
1007;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Geology, Mining, Oil and Gas Engineering and Geodesy;2016;5334;2425
1008;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Material Technology;2016;563;300
1009;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Transport Equipment and Technologies;2016;1687;856
1010;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Aviation, Rocket, and Space Technology;2016;213;115
1011;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Air Navigation and Operation of Aviation, Rocket and Space Technology;2016;216;173
1012;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Shipbuilding and Water Transport Technologies;2016;242;185
1013;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Technical Management;2016;2459;894
1014;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Nanotechnology;2016;74;30
1015;Higher Education;Master's degree;Full pay / tuition fee;2;Engineering and Technology;Light Industry Technologies;2016;60;23
1016;Higher Education;Master's degree;Full pay / tuition fee;3;Healthcare and Medicine;Fundamental Medicine;2016;0;0
1017;Higher Education;Master's degree;Full pay / tuition fee;3;Healthcare and Medicine;Clinical Medicine;2016;0;0
1018;Higher Education;Master's degree;Full pay / tuition fee;3;Healthcare and Medicine;Health Sciences and Preventive Healthcare;2016;156;97
1019;Higher Education;Master's degree;Full pay / tuition fee;3;Healthcare and Medicine;Pharmacy;2016;0;0
1020;Higher Education;Master's degree;Full pay / tuition fee;3;Healthcare and Medicine;Nursing;2016;0;0
1021;Higher Education;Master's degree;Full pay / tuition fee;4;Agriculture;Agriculture, Forestry, and Fisheries;2016;2594;1205
1022;Higher Education;Master's degree;Full pay / tuition fee;4;Agriculture;Veterinary Medicine and Zootechnics;2016;529;215
1023;Higher Education;Master's degree;Full pay / tuition fee;5;Social Sciences;Psychology;2016;6599;2524
1024;Higher Education;Master's degree;Full pay / tuition fee;5;Social Sciences;Economics and Management;2016;84860;41372
1025;Higher Education;Master's degree;Full pay / tuition fee;5;Social Sciences;Sociology and Social Services;2016;1997;472
1026;Higher Education;Master's degree;Full pay / tuition fee;5;Social Sciences;Jurisprudence;2016;52928;25360
1027;Higher Education;Master's degree;Full pay / tuition fee;5;Social Sciences;Political Science and Regional Studies;2016;4113;1195
1028;Higher Education;Master's degree;Full pay / tuition fee;5;Social Sciences;Mass Media and Information;2016;3291;1106
1029;Higher Education;Master's degree;Full pay / tuition fee;5;Social Sciences;Service and Tourism;2016;1389;474
1030;Higher Education;Master's degree;Full pay / tuition fee;6;Education Sciences and Pedagogy;Education Sciences and Pedagogy;2016;24896;7896
1031;Higher Education;Master's degree;Full pay / tuition fee;7;Humanities;Linguistics and Philology;2016;6309;1738
1032;Higher Education;Master's degree;Full pay / tuition fee;7;Humanities;History and Archaeology;2016;1602;349
1033;Higher Education;Master's degree;Full pay / tuition fee;7;Humanities;Philosophy, Ethics, and Religious Studies;2016;214;86
1034;Higher Education;Master's degree;Full pay / tuition fee;7;Humanities;Theology;2016;275;214
1035;Higher Education;Master's degree;Full pay / tuition fee;7;Humanities;Physical Education and Sports;2016;2475;1049
1036;Higher Education;Master's degree;Full pay / tuition fee;8;Arts and Culture;Art History;2016;826;337
1037;Higher Education;Master's degree;Full pay / tuition fee;8;Arts and Culture;Cultural Studies and Socio-Cultural Projects;2016;852;356
1038;Higher Education;Master's degree;Full pay / tuition fee;8;Arts and Culture;Performing Arts and Literary Creativity;2016;227;108
1039;Higher Education;Master's degree;Full pay / tuition fee;8;Arts and Culture;Musical Art;2016;378;222
1040;Higher Education;Master's degree;Full pay / tuition fee;8;Arts and Culture;Design and Restoration;2016;968;411
1041;Higher Education;Master's degree;Full pay / tuition fee;8;Arts and Culture;Film and Screen Arts;2016;0;0
1042;Higher Education;Master's degree;Full pay / tuition fee;9;Military Science;Military Management;2016;0;0
1043;Higher Education;Master's degree;Full pay / tuition fee;9;Military Science;Ensuring National Security;2016;NaN;NaN
1044;Higher Education;Master's degree;Full pay / tuition fee;10;Oriental and African Studies;Oriental and African Studies;2016;0;0
1045;Higher Education;Bachelor's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Mathematics and Mechanics;2017;55622;7154
1046;Higher Education;Bachelor's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Computer Science;2017;29361;3475
1047;Higher Education;Bachelor's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Physics and Astronomy;2017;28379;4526
1048;Higher Education;Bachelor's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Chemistry;2017;16634;2442
1049;Higher Education;Bachelor's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Earth Science;2017;28135;6464
1050;Higher Education;Bachelor's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Biological Sciences;2017;23104;4229
1051;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Architecture;2017;17130;2573
1052;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Construction Equipment and Technologies;2017;78987;14500
1053;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Information Technology;2017;191745;22444
1054;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Information Security;2017;30564;2174
1055;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Electronics, and Radio Engineering and Communication Systems;2017;69011;8927
1056;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Photonics, Instrument Engineering, Optical and Biotechnical Technologies;2017;30622;3203
1057;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Electrical and Thermal Power Engineering;2017;93495;13576
1058;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Nuclear Energy and Technology;2017;6188;801
1059;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Mechanical Engineering;2017;96924;14210
1060;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Physics and Technical Sciences and Technologies;2017;7169;928
1061;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Weaponry and Military Technology;2017;930;126
1062;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Chemical Technologies;2017;37119;6114
1063;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Industrial Ecology and Biotechnology;2017;33707;6547
1064;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Industrial Safety and Environmental Management;2017;42926;5540
1065;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Geology, Mining, Oil and Gas Engineering and Geodesy;2017;46589;7120
1066;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Material Technology;2017;18696;3197
1067;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Transport Equipment and Technologies;2017;55201;9849
1068;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Aviation, Rocket, and Space Technology;2017;11739;1316
1069;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Air Navigation and Operation of Aviation, Rocket and Space Technology;2017;6720;1039
1070;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Shipbuilding and Water Transport Technologies;2017;8213;1499
1071;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Technical Management;2017;54544;6109
1072;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Nanotechnology;2017;10743;916
1073;Higher Education;Bachelor's degree;Scholarship / tuition-free;2;Engineering and Technology;Light Industry Technologies;2017;7294;1982
1074;Higher Education;Bachelor's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Fundamental Medicine;2017;0;0
1075;Higher Education;Bachelor's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Clinical Medicine;2017;0;0
1076;Higher Education;Bachelor's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Health Sciences and Preventive Healthcare;2017;0;0
1077;Higher Education;Bachelor's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Pharmacy;2017;0;0
1078;Higher Education;Bachelor's degree;Scholarship / tuition-free;3;Healthcare and Medicine;Nursing;2017;1651;141
1079;Higher Education;Bachelor's degree;Scholarship / tuition-free;4;Agriculture;Agriculture, Forestry, and Fisheries;2017;72058;21434
1080;Higher Education;Bachelor's degree;Scholarship / tuition-free;4;Agriculture;Veterinary Medicine and Zootechnics;2017;14617;3916
1081;Higher Education;Bachelor's degree;Scholarship / tuition-free;5;Social Sciences;Psychology;2017;18567;2348
1082;Higher Education;Bachelor's degree;Scholarship / tuition-free;5;Social Sciences;Economics and Management;2017;295211;17297
1083;Higher Education;Bachelor's degree;Scholarship / tuition-free;5;Social Sciences;Sociology and Social Services;2017;46530;5037
1084;Higher Education;Bachelor's degree;Scholarship / tuition-free;5;Social Sciences;Jurisprudence;2017;95359;7793
1085;Higher Education;Bachelor's degree;Scholarship / tuition-free;5;Social Sciences;Political Science and Regional Studies;2017;52140;2580
1086;Higher Education;Bachelor's degree;Scholarship / tuition-free;5;Social Sciences;Mass Media and Information;2017;50522;3090
1087;Higher Education;Bachelor's degree;Scholarship / tuition-free;5;Social Sciences;Service and Tourism;2017;47273;4559
1088;Higher Education;Bachelor's degree;Scholarship / tuition-free;6;Education Sciences and Pedagogy;Education Sciences and Pedagogy;2017;298450;49403
1089;Higher Education;Bachelor's degree;Scholarship / tuition-free;7;Humanities;Linguistics and Philology;2017;68618;5818
1090;Higher Education;Bachelor's degree;Scholarship / tuition-free;7;Humanities;History and Archaeology;2017;26023;2439
1091;Higher Education;Bachelor's degree;Scholarship / tuition-free;7;Humanities;Philosophy, Ethics, and Religious Studies;2017;6948;845
1092;Higher Education;Bachelor's degree;Scholarship / tuition-free;7;Humanities;Theology;2017;1411;387
1093;Higher Education;Bachelor's degree;Scholarship / tuition-free;7;Humanities;Physical Education and Sports;2017;17620;5687
1094;Higher Education;Bachelor's degree;Scholarship / tuition-free;8;Arts and Culture;Art History;2017;4234;434
1095;Higher Education;Bachelor's degree;Scholarship / tuition-free;8;Arts and Culture;Cultural Studies and Socio-Cultural Projects;2017;23777;3902
1096;Higher Education;Bachelor's degree;Scholarship / tuition-free;8;Arts and Culture;Performing Arts and Literary Creativity;2017;2113;486
1097;Higher Education;Bachelor's degree;Scholarship / tuition-free;8;Arts and Culture;Musical Art;2017;6688;1899
1098;Higher Education;Bachelor's degree;Scholarship / tuition-free;8;Arts and Culture;Design and Restoration;2017;15878;2725
1099;Higher Education;Bachelor's degree;Scholarship / tuition-free;8;Arts and Culture;Film and Screen Arts;2017;0;0
1100;Higher Education;Bachelor's degree;Scholarship / tuition-free;9;Military Science;Military Management;2017;0;0
1101;Higher Education;Bachelor's degree;Scholarship / tuition-free;9;Military Science;Ensuring National Security;2017;NaN;NaN
1102;Higher Education;Bachelor's degree;Scholarship / tuition-free;10;Oriental and African Studies;Oriental and African Studies;2017;0;0
1103;Higher Education;Specialist's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Mathematics and Mechanics;2017;4433;511
1104;Higher Education;Specialist's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Computer Science;2017;0;0
1105;Higher Education;Specialist's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Physics and Astronomy;2017;737;70
1106;Higher Education;Specialist's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Chemistry;2017;6013;1087
1107;Higher Education;Specialist's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Earth Science;2017;0;0
1108;Higher Education;Specialist's degree;Scholarship / tuition-free;1;Mathematical and Natural Sciences;Biological Sciences;2017;1383;124
1109;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Architecture;2017;0;0
1110;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Construction Equipment and Technologies;2017;16109;1316
1111;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Information Technology;2017;771;198
1112;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Information Security;2017;24246;2754
1113;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Electronics, and Radio Engineering and Communication Systems;2017;7793;1497
1114;Higher Education;Specialist's degree;Scholarship / tuition-free;2;Engineering and Technology;Photonics, Instrument Engineering, Optical and Biotechnical Technologies;2017;1796;153
